	GK2	GK12	GK13	GK14	GK15	GK16	GK17	GK18	GK19	GK20
hsa-miR-3065-5p	0	14	15	0	10	13	23	10	0	0
hsa-miR-3074-3p	4	4	0	0	0	0	2	2	2	0
hsa-miR-3074-5p	3	5	0	0	4	0	2	7	0	0
hsa-miR-30a-3p	19248	10971	11288	12310	7771	8173	9577	12395	7450	7487
hsa-miR-30a-5p	507727	389795	488291	556185	334530	417951	375162	471858	305182	358235
hsa-miR-30b-3p	204	312	146	234	266	144	255	532	391	220
hsa-miR-30b-5p	204209	78347	168944	142743	82653	152609	90387	130537	158023	134688
hsa-miR-30c-1-3p	1040	686	606	671	390	391	573	595	299	369
hsa-miR-30c-2-3p	1276	503	623	712	359	449	550	595	312	456
hsa-miR-30c-5p	140192	68281	137366	101789	55761	71797	97391	115759	65736	65197
hsa-miR-30d-3p	2133	1842	2248	2660	1490	1946	1994	2634	2178	1818
hsa-miR-30d-5p	521054	317407	415382	382197	255216	336625	318312	386416	312486	302805
hsa-miR-30e-3p	21701	17298	15615	16127	11274	11672	13970	17372	10430	10775
hsa-miR-30e-5p	196173	146311	230383	271005	122629	184734	191089	207182	139210	157393
hsa-miR-31-3p	0	0	0	0	0	0	0	0	0	4
hsa-miR-31-5p	12	90	23	3	46	2	32	13	19	251
hsa-miR-3115	0	0	0	0	0	0	0	0	2	0
hsa-miR-3116	135	70	72	72	48	62	54	81	47	50
hsa-miR-3117-3p	50	173	31	41	57	39	71	63	36	45
hsa-miR-3124-3p	3	0	0	4	0	0	0	0	0	0
hsa-miR-3124-5p	41	10	15	10	0	13	19	9	0	12
hsa-miR-3125	2	5	22	11	0	0	4	11	0	4
hsa-miR-3126-5p	0	2	2	0	0	0	2	2	0	0
hsa-miR-3127-3p	7	2	0	0	0	0	0	0	0	0
hsa-miR-3127-5p	30	11	21	13	10	17	9	13	11	8
hsa-miR-3129-3p	0	2	2	7	0	0	0	0	0	0
hsa-miR-3130-3p	0	0	0	4	0	0	0	0	0	0
hsa-miR-3130-5p	4	4	2	7	8	5	5	0	0	9
hsa-miR-3132	0	2	2	0	0	6	0	4	2	0
hsa-miR-3133	0	0	0	3	3	0	3	0	0	0
hsa-miR-3136-5p	0	0	0	0	3	0	0	2	0	0
hsa-miR-3139	0	2	0	0	0	0	0	0	0	0
